CMDLINE /usr/local/bin/python main.py
MEM 5.273438 1689221958.7809
MEM 19.210938 1689221958.8813
MEM 29.167969 1689221958.9821
MEM 39.234375 1689221959.0826
MEM 47.281250 1689221959.1829
MEM 54.085938 1689221959.2834
MEM 73.589844 1689221959.3860
MEM 75.675781 1689221959.4864
MEM 78.253906 1689221959.5870
MEM 82.503906 1689221959.6875
MEM 83.789062 1689221959.7880
MEM 84.820312 1689221959.8885
MEM 85.593750 1689221959.9892
MEM 87.992188 1689221960.0896
MEM 108.535156 1689221960.1901
MEM 108.535156 1689221960.2906
MEM 108.535156 1689221960.3911
MEM 108.535156 1689221960.4916
MEM 108.535156 1689221960.5920
MEM 108.535156 1689221960.6925
MEM 108.535156 1689221960.7930
MEM 108.535156 1689221960.8935
MEM 108.535156 1689221960.9940
MEM 108.734375 1689221961.0944
MEM 110.812500 1689221961.1948
MEM 110.812500 1689221961.2953
MEM 110.812500 1689221961.3958
MEM 110.812500 1689221961.4961
MEM 110.812500 1689221961.5966
MEM 110.812500 1689221961.6971
MEM 110.812500 1689221961.7975
MEM 110.812500 1689221961.8980
MEM 110.835938 1689221961.9985
MEM 111.718750 1689221962.0991
MEM 111.718750 1689221962.1997
MEM 111.718750 1689221962.3003
MEM 111.718750 1689221962.4010
MEM 111.718750 1689221962.5015
MEM 111.750000 1689221962.6020
MEM 111.750000 1689221962.7025
MEM 111.750000 1689221962.8030
MEM 111.750000 1689221962.9036
MEM 111.750000 1689221963.0044
MEM 111.750000 1689221963.1056
MEM 111.750000 1689221963.2061
MEM 111.750000 1689221963.3081
MEM 111.750000 1689221963.4087
MEM 111.750000 1689221963.5096
MEM 111.750000 1689221963.6100
MEM 111.750000 1689221963.7104
MEM 111.750000 1689221963.8109
MEM 111.750000 1689221963.9125
MEM 111.750000 1689221964.0131
MEM 111.750000 1689221964.1136
MEM 111.750000 1689221964.2139
MEM 111.750000 1689221964.3158
MEM 111.750000 1689221964.4163
MEM 111.750000 1689221964.5460
MEM 111.750000 1689221964.6467
MEM 111.750000 1689221964.7470
MEM 111.750000 1689221964.8475
MEM 111.750000 1689221964.9481
MEM 111.750000 1689221965.0486
MEM 111.750000 1689221965.1491
MEM 111.750000 1689221965.2497
MEM 111.750000 1689221965.3501
MEM 111.765625 1689221965.4512
MEM 111.843750 1689221965.5518
MEM 111.843750 1689221965.6526
MEM 111.843750 1689221965.7534
MEM 113.535156 1689221965.8539
MEM 114.050781 1689221965.9544
MEM 114.078125 1689221966.0550
MEM 114.078125 1689221966.1557
MEM 114.402344 1689221966.2561
MEM 115.425781 1689221966.3572
MEM 118.906250 1689221966.4577
MEM 120.746094 1689221966.5581
MEM 121.812500 1689221966.6586
MEM 122.824219 1689221966.7590
MEM 122.789062 1689221966.8594
MEM 124.363281 1689221966.9602
MEM 125.039062 1689221967.0607
MEM 125.296875 1689221967.1610
MEM 125.933594 1689221967.2615
MEM 126.191406 1689221967.3620
MEM 126.308594 1689221967.4624
MEM 126.589844 1689221967.5630
MEM 126.859375 1689221967.6636
MEM 126.859375 1689221967.7639
MEM 127.171875 1689221967.8643
MEM 127.929688 1689221967.9647
MEM 129.585938 1689221968.0652
MEM 130.386719 1689221968.1670
MEM 130.367188 1689221968.2675
MEM 130.367188 1689221968.3685
MEM 130.367188 1689221968.4693
MEM 130.367188 1689221968.5699
MEM 130.367188 1689221968.6704
MEM 130.621094 1689221968.7709
MEM 130.878906 1689221968.8713
MEM 131.136719 1689221968.9722
MEM 132.691406 1689221969.0756
MEM 133.218750 1689221969.1761
MEM 133.378906 1689221969.2769
MEM 133.378906 1689221969.3775
MEM 133.367188 1689221969.4782
MEM 133.367188 1689221969.5788
MEM 133.632812 1689221969.6793
MEM 135.175781 1689221969.7800
MEM 135.175781 1689221969.8804
MEM 135.691406 1689221969.9809
MEM 136.460938 1689221970.0814
MEM 136.597656 1689221970.1820
MEM 136.851562 1689221970.2825
MEM 137.367188 1689221970.3831
MEM 137.375000 1689221970.4837
MEM 137.375000 1689221970.5841
MEM 137.632812 1689221970.6964
MEM 137.632812 1689221970.7969
MEM 137.632812 1689221970.8975
MEM 137.632812 1689221970.9980
MEM 137.718750 1689221971.0986
MEM 137.718750 1689221971.1992
MEM 137.718750 1689221971.2999
MEM 137.718750 1689221971.4004
MEM 137.718750 1689221971.5009
MEM 137.718750 1689221971.6013
MEM 137.718750 1689221971.7018
MEM 137.718750 1689221971.8025
MEM 137.718750 1689221971.9035
MEM 137.718750 1689221972.0042
MEM 137.718750 1689221972.1050
MEM 137.718750 1689221972.2056
MEM 137.718750 1689221972.3063
MEM 137.718750 1689221972.4069
MEM 137.718750 1689221972.5074
MEM 137.718750 1689221972.6083
MEM 137.718750 1689221972.7094
MEM 137.718750 1689221972.8102
MEM 137.718750 1689221972.9110
MEM 137.718750 1689221973.0120
MEM 137.718750 1689221973.1130
MEM 137.718750 1689221973.2140
MEM 137.718750 1689221973.3149
MEM 137.718750 1689221973.4157
MEM 137.718750 1689221973.5166
MEM 137.718750 1689221973.6177
MEM 137.718750 1689221973.7183
MEM 137.718750 1689221973.8190
MEM 137.718750 1689221973.9202
MEM 137.718750 1689221974.0214
MEM 137.718750 1689221974.1223
MEM 137.718750 1689221974.2267
MEM 137.718750 1689221974.3274
MEM 137.718750 1689221974.4281
MEM 137.718750 1689221974.5290
MEM 137.718750 1689221974.6304
MEM 137.718750 1689221974.7310
MEM 137.718750 1689221974.8316
MEM 137.718750 1689221974.9323
MEM 137.718750 1689221975.0330
MEM 137.718750 1689221975.1340
MEM 137.718750 1689221975.2346
MEM 137.718750 1689221975.3352
MEM 137.718750 1689221975.4357
MEM 137.718750 1689221975.5365
MEM 137.718750 1689221975.6376
MEM 137.718750 1689221975.7387
MEM 137.718750 1689221975.8397
MEM 137.718750 1689221975.9406
MEM 137.718750 1689221976.0413
MEM 137.718750 1689221976.1420
MEM 137.718750 1689221976.2427
MEM 137.718750 1689221976.3435
MEM 137.718750 1689221976.4442
MEM 137.718750 1689221976.5449
MEM 137.718750 1689221976.6461
MEM 137.718750 1689221976.7473
MEM 137.718750 1689221976.8483
MEM 137.718750 1689221976.9494
MEM 137.718750 1689221977.0500
MEM 137.718750 1689221977.1507
MEM 137.718750 1689221977.2511
MEM 137.718750 1689221977.3517
MEM 137.718750 1689221977.4520
MEM 137.718750 1689221977.5526
MEM 137.718750 1689221977.6536
MEM 137.718750 1689221977.7543
MEM 137.718750 1689221977.8549
MEM 137.718750 1689221977.9555
MEM 137.718750 1689221978.0560
MEM 137.718750 1689221978.1566
MEM 137.718750 1689221978.2576
MEM 137.718750 1689221978.3586
MEM 137.718750 1689221978.4591
MEM 137.718750 1689221978.5603
MEM 137.718750 1689221978.6611
MEM 137.718750 1689221978.7624
MEM 137.718750 1689221978.8631
MEM 137.718750 1689221978.9641
MEM 137.718750 1689221979.0650
MEM 137.718750 1689221979.1664
MEM 137.718750 1689221979.2670
MEM 137.718750 1689221979.3703
MEM 137.718750 1689221979.4707
MEM 137.718750 1689221979.5720
MEM 137.718750 1689221979.6725
MEM 137.718750 1689221979.7733
MEM 137.718750 1689221979.8738
MEM 137.718750 1689221979.9745
MEM 137.718750 1689221980.0754
MEM 137.718750 1689221980.1766
MEM 137.718750 1689221980.2781
MEM 137.718750 1689221980.3790
MEM 137.718750 1689221980.4797
MEM 137.718750 1689221980.5805
MEM 137.718750 1689221980.6810
MEM 137.718750 1689221980.7818
MEM 137.718750 1689221980.8823
MEM 137.718750 1689221980.9832
MEM 137.718750 1689221981.0839
MEM 137.718750 1689221981.1846
MEM 137.718750 1689221981.2855
MEM 137.718750 1689221981.3862
MEM 137.718750 1689221981.4868
MEM 137.718750 1689221981.5875
MEM 137.718750 1689221981.6883
MEM 137.718750 1689221981.7890
MEM 137.718750 1689221981.8896
MEM 137.718750 1689221981.9904
MEM 137.718750 1689221982.0913
MEM 137.718750 1689221982.1926
MEM 137.718750 1689221982.2942
MEM 137.718750 1689221982.3949
MEM 137.718750 1689221982.4958
MEM 137.718750 1689221982.5963
MEM 137.718750 1689221982.6969
MEM 137.718750 1689221982.7975
MEM 137.718750 1689221982.8984
MEM 137.718750 1689221982.9995
MEM 137.718750 1689221983.1003
MEM 137.718750 1689221983.2009
MEM 137.718750 1689221983.3014
MEM 137.718750 1689221983.4020
MEM 137.718750 1689221983.5028
MEM 137.718750 1689221983.6032
MEM 137.718750 1689221983.7038
MEM 137.718750 1689221983.8049
MEM 137.718750 1689221983.9057
MEM 137.718750 1689221984.0064
MEM 137.718750 1689221984.1075
MEM 137.718750 1689221984.2085
MEM 137.718750 1689221984.3094
MEM 137.718750 1689221984.4102
MEM 137.718750 1689221984.5140
MEM 137.718750 1689221984.6145
MEM 137.941406 1689221984.7152
MEM 140.507812 1689221984.8157
MEM 140.507812 1689221984.9165
MEM 140.507812 1689221985.0171
MEM 140.507812 1689221985.1177
MEM 140.507812 1689221985.2185
MEM 140.507812 1689221985.3193
MEM 140.507812 1689221985.4197
MEM 140.507812 1689221985.5202
MEM 140.523438 1689221985.6207
MEM 140.523438 1689221985.7213
MEM 140.523438 1689221985.8219
MEM 140.523438 1689221985.9224
MEM 140.523438 1689221986.0233
MEM 140.523438 1689221986.1237
MEM 140.523438 1689221986.2246
MEM 140.523438 1689221986.3254
MEM 140.523438 1689221986.4259
MEM 140.523438 1689221986.5263
MEM 140.523438 1689221986.6268
MEM 140.523438 1689221986.7274
MEM 140.523438 1689221986.8282
MEM 140.523438 1689221986.9289
MEM 140.523438 1689221987.0295
MEM 140.523438 1689221987.1303
MEM 140.523438 1689221987.2306
MEM 140.523438 1689221987.3313
MEM 140.523438 1689221987.4317
MEM 140.523438 1689221987.5323
MEM 140.523438 1689221987.6328
MEM 140.523438 1689221987.7333
MEM 140.523438 1689221987.8340
MEM 140.523438 1689221987.9346
MEM 140.523438 1689221988.0352
MEM 140.535156 1689221988.1358
MEM 140.535156 1689221988.2362
MEM 140.535156 1689221988.3369
MEM 140.554688 1689221988.4376
MEM 140.554688 1689221988.5382
MEM 140.554688 1689221988.6388
MEM 140.554688 1689221988.7396
MEM 140.554688 1689221988.8403
MEM 140.554688 1689221988.9410
MEM 140.554688 1689221989.0419
MEM 140.554688 1689221989.1429
MEM 140.554688 1689221989.2434
MEM 140.554688 1689221989.3439
MEM 140.554688 1689221989.4446
MEM 140.554688 1689221989.5451
MEM 140.554688 1689221989.6495
MEM 140.554688 1689221989.7500
MEM 140.554688 1689221989.8505
MEM 140.554688 1689221989.9510
MEM 140.554688 1689221990.0516
MEM 140.554688 1689221990.1522
MEM 140.554688 1689221990.2534
MEM 140.554688 1689221990.3540
MEM 140.554688 1689221990.4544
MEM 140.554688 1689221990.5553
MEM 140.554688 1689221990.6560
MEM 140.554688 1689221990.7566
MEM 140.554688 1689221990.8573
MEM 140.554688 1689221990.9578
MEM 140.554688 1689221991.0584
MEM 140.554688 1689221991.1594
MEM 140.554688 1689221991.2599
MEM 140.554688 1689221991.3610
MEM 140.554688 1689221991.4619
MEM 140.554688 1689221991.5628
MEM 140.554688 1689221991.6637
MEM 140.554688 1689221991.7649
MEM 140.554688 1689221991.8659
MEM 140.554688 1689221991.9665
MEM 140.554688 1689221992.0673
MEM 140.554688 1689221992.1680
MEM 140.554688 1689221992.2691
MEM 140.554688 1689221992.3703
MEM 140.554688 1689221992.4711
MEM 140.554688 1689221992.5717
MEM 140.554688 1689221992.6723
MEM 140.554688 1689221992.7734
MEM 140.554688 1689221992.8739
MEM 140.554688 1689221992.9744
MEM 140.554688 1689221993.0748
MEM 140.554688 1689221993.1753
MEM 140.554688 1689221993.2758
MEM 140.554688 1689221993.3763
MEM 140.554688 1689221993.4770
MEM 140.554688 1689221993.5775
MEM 140.554688 1689221993.6782
MEM 140.554688 1689221993.7790
MEM 140.554688 1689221993.8797
MEM 140.554688 1689221993.9809
MEM 140.554688 1689221994.0816
MEM 140.554688 1689221994.1826
MEM 140.554688 1689221994.2832
MEM 140.554688 1689221994.3837
MEM 140.554688 1689221994.4845
MEM 140.554688 1689221994.5852
MEM 140.554688 1689221994.6857
MEM 140.554688 1689221994.7885
MEM 140.554688 1689221994.8892
MEM 140.554688 1689221994.9901
MEM 140.554688 1689221995.0910
MEM 140.554688 1689221995.1915
MEM 140.554688 1689221995.2925
MEM 140.554688 1689221995.3932
MEM 140.554688 1689221995.4943
MEM 140.554688 1689221995.5949
MEM 140.554688 1689221995.6955
MEM 140.554688 1689221995.7963
MEM 140.554688 1689221995.8970
MEM 140.554688 1689221995.9983
MEM 140.554688 1689221996.0989
MEM 140.554688 1689221996.1993
MEM 140.554688 1689221996.2997
MEM 140.554688 1689221996.4002
MEM 140.554688 1689221996.5008
MEM 140.554688 1689221996.6015
MEM 140.554688 1689221996.7022
MEM 140.554688 1689221996.8027
MEM 140.554688 1689221996.9035
MEM 140.554688 1689221997.0045
MEM 140.554688 1689221997.1052
MEM 140.554688 1689221997.2059
MEM 140.554688 1689221997.3074
MEM 140.554688 1689221997.4083
MEM 140.554688 1689221997.5091
MEM 140.554688 1689221997.6097
MEM 140.554688 1689221997.7106
MEM 140.554688 1689221997.8114
MEM 140.554688 1689221997.9124
MEM 140.554688 1689221998.0133
MEM 140.554688 1689221998.1144
MEM 140.554688 1689221998.2149
MEM 140.554688 1689221998.3155
MEM 140.554688 1689221998.4164
MEM 140.554688 1689221998.5180
MEM 140.554688 1689221998.6187
MEM 140.554688 1689221998.7195
MEM 140.554688 1689221998.8204
MEM 140.554688 1689221998.9214
MEM 140.554688 1689221999.0225
MEM 140.554688 1689221999.1233
MEM 140.554688 1689221999.2243
MEM 140.554688 1689221999.3248
MEM 140.554688 1689221999.4255
MEM 140.554688 1689221999.5263
MEM 140.554688 1689221999.6269
MEM 140.554688 1689221999.7277
MEM 140.554688 1689221999.8282
MEM 140.554688 1689221999.9317
MEM 140.554688 1689222000.0322
MEM 140.554688 1689222000.1327
MEM 140.554688 1689222000.2334
MEM 140.554688 1689222000.3341
MEM 140.554688 1689222000.4347
MEM 140.554688 1689222000.5353
MEM 140.554688 1689222000.6359
MEM 140.554688 1689222000.7369
MEM 140.554688 1689222000.8374
MEM 140.554688 1689222000.9380
MEM 140.554688 1689222001.0391
MEM 140.554688 1689222001.1398
MEM 140.554688 1689222001.2404
MEM 140.554688 1689222001.3414
MEM 140.554688 1689222001.4420
MEM 140.554688 1689222001.5427
MEM 140.554688 1689222001.6439
MEM 140.554688 1689222001.7449
MEM 140.554688 1689222001.8455
MEM 140.554688 1689222001.9465
MEM 141.183594 1689222002.0473
MEM 141.183594 1689222002.1484
MEM 141.183594 1689222002.2491
MEM 141.183594 1689222002.3496
MEM 141.183594 1689222002.4502
MEM 141.183594 1689222002.5507
MEM 141.183594 1689222002.6514
MEM 141.183594 1689222002.7520
MEM 141.183594 1689222002.8525
MEM 141.183594 1689222002.9532
MEM 141.183594 1689222003.0537
MEM 141.183594 1689222003.1544
MEM 141.183594 1689222003.2552
MEM 141.183594 1689222003.3559
MEM 141.183594 1689222003.4567
MEM 141.183594 1689222003.5586
MEM 141.183594 1689222003.6595
MEM 141.183594 1689222003.7609
MEM 141.183594 1689222003.8621
MEM 141.183594 1689222003.9635
MEM 141.183594 1689222004.0649
MEM 141.183594 1689222004.1656
MEM 141.183594 1689222004.2665
MEM 141.183594 1689222004.3672
MEM 141.183594 1689222004.4678
MEM 141.183594 1689222004.5683
MEM 141.183594 1689222004.6689
MEM 141.183594 1689222004.7697
MEM 141.183594 1689222004.8704
MEM 141.183594 1689222004.9712
MEM 141.183594 1689222005.0744
MEM 141.183594 1689222005.1750
MEM 141.183594 1689222005.2759
MEM 141.183594 1689222005.3765
MEM 141.183594 1689222005.4777
MEM 141.183594 1689222005.5785
MEM 141.183594 1689222005.6791
MEM 141.183594 1689222005.7807
MEM 141.183594 1689222005.8814
MEM 141.183594 1689222005.9822
MEM 141.183594 1689222006.0828
MEM 141.183594 1689222006.1836
MEM 141.183594 1689222006.2843
MEM 141.183594 1689222006.3854
MEM 141.183594 1689222006.4864
MEM 141.183594 1689222006.5873
MEM 141.183594 1689222006.6878
MEM 141.183594 1689222006.7885
MEM 141.183594 1689222006.8893
MEM 141.183594 1689222006.9900
MEM 141.183594 1689222007.0907
MEM 141.183594 1689222007.1917
MEM 141.183594 1689222007.2925
MEM 141.183594 1689222007.3931
MEM 141.183594 1689222007.4938
MEM 141.183594 1689222007.5943
MEM 141.183594 1689222007.6949
MEM 141.183594 1689222007.7957
MEM 141.183594 1689222007.8965
MEM 141.183594 1689222007.9971
MEM 141.183594 1689222008.0980
MEM 141.183594 1689222008.1987
MEM 141.183594 1689222008.2993
MEM 141.183594 1689222008.3998
MEM 141.183594 1689222008.5003
MEM 141.183594 1689222008.6009
MEM 141.183594 1689222008.7015
MEM 141.183594 1689222008.8021
MEM 141.183594 1689222008.9030
MEM 141.183594 1689222009.0036
MEM 141.183594 1689222009.1045
MEM 141.183594 1689222009.2052
MEM 141.183594 1689222009.3057
MEM 141.183594 1689222009.4065
MEM 141.183594 1689222009.5074
MEM 141.183594 1689222009.6079
MEM 141.183594 1689222009.7091
MEM 141.183594 1689222009.8097
MEM 141.183594 1689222009.9107
MEM 141.183594 1689222010.0120
MEM 141.183594 1689222010.1131
MEM 141.183594 1689222010.2154
MEM 141.183594 1689222010.3160
MEM 141.183594 1689222010.4164
MEM 141.183594 1689222010.5172
MEM 141.183594 1689222010.6178
MEM 141.183594 1689222010.7186
MEM 141.183594 1689222010.8190
MEM 141.183594 1689222010.9200
MEM 141.183594 1689222011.0209
MEM 141.183594 1689222011.1215
MEM 141.183594 1689222011.2222
MEM 141.183594 1689222011.3227
MEM 141.183594 1689222011.4234
MEM 141.183594 1689222011.5240
MEM 141.183594 1689222011.6250
MEM 141.183594 1689222011.7260
MEM 141.183594 1689222011.8269
MEM 141.183594 1689222011.9275
MEM 141.183594 1689222012.0284
MEM 141.183594 1689222012.1295
MEM 141.183594 1689222012.2301
MEM 141.183594 1689222012.3310
MEM 141.183594 1689222012.4315
MEM 141.183594 1689222012.5320
MEM 141.183594 1689222012.6325
MEM 141.183594 1689222012.7331
MEM 141.183594 1689222012.8339
MEM 141.183594 1689222012.9346
MEM 141.183594 1689222013.0352
