CMDLINE /usr/local/bin/python main.py
MEM 6.351562 1689219395.9893
MEM 19.574219 1689219396.0900
MEM 28.871094 1689219396.1908
MEM 39.046875 1689219396.2920
MEM 47.875000 1689219396.3927
MEM 53.656250 1689219396.4935
MEM 71.242188 1689219396.5942
MEM 76.515625 1689219396.6948
MEM 79.093750 1689219396.7954
MEM 82.828125 1689219396.8962
MEM 83.855469 1689219396.9969
MEM 85.656250 1689219397.0976
MEM 86.429688 1689219397.1983
MEM 88.796875 1689219397.2994
MEM 109.375000 1689219397.4003
MEM 110.093750 1689219397.5014
MEM 110.101562 1689219397.6024
MEM 112.292969 1689219397.7035
MEM 112.976562 1689219397.8044
MEM 113.703125 1689219397.9054
MEM 114.261719 1689219398.0066
MEM 114.875000 1689219398.1076
MEM 115.437500 1689219398.2086
MEM 109.714844 1689219398.3094
MEM 111.664062 1689219398.4101
MEM 115.726562 1689219398.5108
MEM 114.175781 1689219398.6116
MEM 114.976562 1689219398.7127
MEM 115.703125 1689219398.8141
MEM 116.273438 1689219398.9152
MEM 116.777344 1689219399.0167
MEM 117.296875 1689219399.1181
MEM 128.652344 1689219399.2197
MEM 113.031250 1689219399.3205
MEM 113.742188 1689219399.4221
MEM 121.238281 1689219399.5232
MEM 121.238281 1689219399.6245
MEM 121.238281 1689219399.7254
MEM 124.269531 1689219399.8297
MEM 127.511719 1689219399.9346
MEM 127.855469 1689219400.0366
MEM 124.277344 1689219400.1589
MEM 125.882812 1689219400.2602
MEM 126.617188 1689219400.3617
MEM 127.121094 1689219400.4627
MEM 127.960938 1689219400.5635
MEM 128.476562 1689219400.6645
MEM 129.136719 1689219400.7655
MEM 129.585938 1689219400.8666
MEM 181.640625 1689219400.9683
MEM 183.640625 1689219401.0696
MEM 184.933594 1689219401.1717
MEM 186.246094 1689219401.2737
MEM 187.117188 1689219401.3766
MEM 188.117188 1689219401.4776
MEM 189.394531 1689219401.5787
MEM 190.003906 1689219401.6813
MEM 349.531250 1689219401.7861
MEM 432.808594 1689219401.8884
MEM 436.289062 1689219401.9914
MEM 467.960938 1689219402.0932
MEM 496.820312 1689219402.1953
MEM 497.292969 1689219402.2974
MEM 497.765625 1689219402.3991
MEM 498.218750 1689219402.5004
MEM 498.585938 1689219402.6036
