CMDLINE /usr/local/bin/python test.py
MEM 31.164062 1689223468.7602
MEM 31.164062 1689223468.8606
MEM 31.164062 1689223468.9612
MEM 31.164062 1689223469.0619
MEM 31.164062 1689223469.1624
MEM 31.421875 1689223469.2629
MEM 31.421875 1689223469.3633
MEM 31.421875 1689223469.4638
MEM 31.421875 1689223469.5645
MEM 31.421875 1689223469.6653
MEM 31.679688 1689223469.7658
MEM 31.679688 1689223469.8663
MEM 31.679688 1689223469.9668
MEM 31.679688 1689223470.0673
MEM 31.937500 1689223470.1677
MEM 31.937500 1689223470.2682
MEM 31.937500 1689223470.3687
MEM 31.937500 1689223470.4715
MEM 32.195312 1689223470.5721
MEM 32.195312 1689223470.6726
MEM 32.195312 1689223470.7730
MEM 32.195312 1689223470.8735
MEM 32.453125 1689223470.9742
MEM 32.453125 1689223471.0747
MEM 32.453125 1689223471.1753
MEM 32.453125 1689223471.2759
MEM 32.710938 1689223471.3764
MEM 32.710938 1689223471.4769
MEM 32.710938 1689223471.5774
MEM 32.710938 1689223471.6780
MEM 32.968750 1689223471.7784
MEM 32.968750 1689223471.8790
MEM 32.968750 1689223471.9795
MEM 32.968750 1689223472.0801
MEM 33.226562 1689223472.1805
MEM 33.226562 1689223472.2812
MEM 33.226562 1689223472.3818
MEM 33.226562 1689223472.4823
MEM 33.226562 1689223472.5894
MEM 33.226562 1689223472.7039
MEM 33.226562 1689223472.8054
MEM 33.484375 1689223472.9060
MEM 33.484375 1689223473.0218
MEM 33.484375 1689223473.1223
MEM 33.484375 1689223473.2227
MEM 33.484375 1689223473.3267
MEM 33.484375 1689223473.4272
MEM 33.484375 1689223473.5277
MEM 33.742188 1689223473.6283
MEM 33.742188 1689223473.7291
MEM 33.742188 1689223473.8296
MEM 33.742188 1689223473.9416
MEM 33.742188 1689223474.0434
MEM 34.000000 1689223474.1439
MEM 34.000000 1689223474.2444
MEM 34.000000 1689223474.3451
MEM 34.000000 1689223474.4457
MEM 34.000000 1689223474.5463
MEM 34.257812 1689223474.6471
MEM 34.257812 1689223474.7477
MEM 34.257812 1689223474.8483
MEM 34.257812 1689223474.9490
MEM 34.515625 1689223475.0496
MEM 34.515625 1689223475.1501
MEM 34.515625 1689223475.2506
MEM 34.515625 1689223475.3511
MEM 34.773438 1689223475.4517
MEM 34.773438 1689223475.5523
MEM 34.773438 1689223475.6543
MEM 34.773438 1689223475.7548
MEM 35.031250 1689223475.8553
MEM 35.031250 1689223475.9561
MEM 35.128906 1689223476.0567
MEM 35.128906 1689223476.1578
MEM 35.128906 1689223476.2583
MEM 35.128906 1689223476.3587
MEM 35.128906 1689223476.4593
MEM 35.128906 1689223476.5598
MEM 35.382812 1689223476.6603
MEM 35.382812 1689223476.7608
MEM 35.382812 1689223476.8612
MEM 35.382812 1689223476.9616
MEM 35.382812 1689223477.0622
MEM 35.382812 1689223477.1625
MEM 35.640625 1689223477.2630
MEM 35.640625 1689223477.3634
MEM 35.640625 1689223477.4639
MEM 35.640625 1689223477.5644
MEM 35.898438 1689223477.6653
MEM 35.898438 1689223477.7660
MEM 35.898438 1689223477.8665
MEM 35.898438 1689223477.9671
MEM 36.156250 1689223478.0675
MEM 36.156250 1689223478.1680
MEM 36.156250 1689223478.2685
MEM 36.156250 1689223478.3690
MEM 36.156250 1689223478.4694
MEM 36.414062 1689223478.5701
MEM 36.414062 1689223478.6707
MEM 36.414062 1689223478.7708
MEM 36.414062 1689223478.8712
MEM 36.414062 1689223478.9720
MEM 36.671875 1689223479.0768
MEM 36.671875 1689223479.1775
MEM 36.671875 1689223479.2779
MEM 36.671875 1689223479.3783
MEM 36.671875 1689223479.4789
MEM 36.671875 1689223479.5793
MEM 36.929688 1689223479.6799
MEM 36.929688 1689223479.7804
MEM 36.929688 1689223479.8808
MEM 37.117188 1689223479.9816
MEM 37.117188 1689223480.0822
MEM 37.117188 1689223480.1827
MEM 37.117188 1689223480.2832
MEM 37.371094 1689223480.3838
MEM 37.371094 1689223480.4844
MEM 37.371094 1689223480.5850
MEM 37.371094 1689223480.6854
MEM 37.628906 1689223480.7887
MEM 37.628906 1689223480.8893
MEM 37.628906 1689223480.9898
MEM 37.628906 1689223481.0904
MEM 37.628906 1689223481.1910
MEM 37.886719 1689223481.2916
MEM 37.886719 1689223481.3922
MEM 37.886719 1689223481.4928
MEM 37.886719 1689223481.5934
MEM 38.144531 1689223481.6939
MEM 38.144531 1689223481.7947
MEM 38.144531 1689223481.8951
MEM 38.144531 1689223481.9957
MEM 38.144531 1689223482.0963
MEM 38.402344 1689223482.1969
MEM 38.402344 1689223482.2974
MEM 38.402344 1689223482.3978
MEM 38.402344 1689223482.4982
MEM 38.660156 1689223482.5988
MEM 38.660156 1689223482.6995
MEM 38.660156 1689223482.7999
MEM 38.660156 1689223482.9004
MEM 38.660156 1689223483.0010
MEM 38.917969 1689223483.1016
MEM 38.917969 1689223483.2020
MEM 38.917969 1689223483.3024
MEM 38.917969 1689223483.4030
MEM 39.175781 1689223483.5036
MEM 39.175781 1689223483.6042
MEM 39.175781 1689223483.7048
MEM 39.175781 1689223483.8053
MEM 39.175781 1689223483.9059
MEM 39.433594 1689223484.0064
MEM 39.433594 1689223484.1069
MEM 39.433594 1689223484.2074
MEM 39.433594 1689223484.3081
MEM 39.433594 1689223484.4113
MEM 39.691406 1689223484.5118
MEM 39.691406 1689223484.6124
MEM 39.691406 1689223484.7128
MEM 39.691406 1689223484.8133
MEM 39.949219 1689223484.9138
MEM 39.949219 1689223485.0143
MEM 39.949219 1689223485.1149
MEM 39.949219 1689223485.2154
MEM 39.949219 1689223485.3173
MEM 39.949219 1689223485.4302
MEM 40.207031 1689223485.5309
MEM 40.207031 1689223485.6315
MEM 40.207031 1689223485.7320
MEM 40.207031 1689223485.8326
MEM 40.207031 1689223485.9369
MEM 40.464844 1689223486.0374
MEM 40.464844 1689223486.1379
MEM 40.464844 1689223486.2383
MEM 40.464844 1689223486.3389
MEM 40.722656 1689223486.4393
MEM 40.722656 1689223486.5399
MEM 40.722656 1689223486.6406
MEM 40.722656 1689223486.7411
MEM 40.722656 1689223486.8418
MEM 40.980469 1689223486.9428
MEM 40.980469 1689223487.0433
MEM 40.980469 1689223487.1441
MEM 40.980469 1689223487.2447
MEM 40.980469 1689223487.3451
MEM 41.238281 1689223487.4457
MEM 41.238281 1689223487.5461
MEM 41.238281 1689223487.6467
MEM 41.238281 1689223487.7482
MEM 41.238281 1689223487.8487
MEM 41.238281 1689223487.9492
MEM 41.238281 1689223488.0497
MEM 41.496094 1689223488.1505
MEM 41.496094 1689223488.2509
MEM 41.496094 1689223488.3518
MEM 41.496094 1689223488.4523
MEM 41.496094 1689223488.5527
MEM 41.753906 1689223488.6532
MEM 41.753906 1689223488.7537
MEM 41.753906 1689223488.8541
MEM 41.753906 1689223488.9547
MEM 42.011719 1689223489.0553
MEM 42.011719 1689223489.1557
MEM 42.011719 1689223489.2562
MEM 42.011719 1689223489.3569
MEM 42.269531 1689223489.4574
MEM 42.269531 1689223489.5580
MEM 42.269531 1689223489.6585
MEM 42.269531 1689223489.7590
MEM 42.527344 1689223489.8597
MEM 42.527344 1689223489.9601
MEM 42.527344 1689223490.0608
MEM 42.785156 1689223490.1612
MEM 42.785156 1689223490.2617
MEM 42.785156 1689223490.3623
MEM 42.785156 1689223490.4629
MEM 42.785156 1689223490.5633
MEM 43.042969 1689223490.6639
MEM 43.042969 1689223490.7645
MEM 43.042969 1689223490.8651
MEM 43.042969 1689223490.9658
MEM 43.300781 1689223491.0683
MEM 43.300781 1689223491.1691
MEM 43.300781 1689223491.2696
MEM 43.300781 1689223491.3704
MEM 43.300781 1689223491.4711
MEM 43.558594 1689223491.5716
MEM 43.558594 1689223491.6722
MEM 43.558594 1689223491.7728
MEM 43.558594 1689223491.8732
MEM 43.816406 1689223491.9741
MEM 43.816406 1689223492.0747
MEM 43.816406 1689223492.1752
MEM 43.816406 1689223492.2757
MEM 44.074219 1689223492.3762
MEM 44.074219 1689223492.4768
MEM 44.074219 1689223492.5774
MEM 44.074219 1689223492.6778
MEM 44.332031 1689223492.7782
MEM 44.332031 1689223492.8790
MEM 44.332031 1689223492.9797
MEM 44.332031 1689223493.0801
MEM 44.332031 1689223493.1807
MEM 44.332031 1689223493.2810
MEM 44.589844 1689223493.3816
MEM 44.589844 1689223493.4823
MEM 44.699219 1689223493.5829
MEM 44.699219 1689223493.6836
MEM 44.699219 1689223493.7842
MEM 44.699219 1689223493.8847
MEM 44.953125 1689223493.9852
MEM 44.953125 1689223494.0859
MEM 44.953125 1689223494.1864
MEM 45.210938 1689223494.2869
MEM 45.210938 1689223494.3875
MEM 45.210938 1689223494.4880
MEM 45.210938 1689223494.5886
MEM 45.468750 1689223494.6892
MEM 45.468750 1689223494.7897
MEM 45.468750 1689223494.8904
MEM 45.726562 1689223494.9908
MEM 45.726562 1689223495.0913
MEM 45.726562 1689223495.1919
MEM 45.726562 1689223495.2924
MEM 45.984375 1689223495.3928
MEM 45.984375 1689223495.4934
MEM 45.984375 1689223495.5938
MEM 45.984375 1689223495.6945
MEM 46.242188 1689223495.7949
MEM 46.242188 1689223495.8954
MEM 46.242188 1689223495.9959
MEM 46.500000 1689223496.0963
MEM 46.500000 1689223496.1997
MEM 46.500000 1689223496.3002
MEM 46.500000 1689223496.4007
MEM 46.757812 1689223496.5013
MEM 46.757812 1689223496.6019
MEM 46.757812 1689223496.7024
MEM 47.015625 1689223496.8028
MEM 47.015625 1689223496.9033
MEM 47.015625 1689223497.0040
MEM 47.015625 1689223497.1044
MEM 47.273438 1689223497.2050
MEM 47.273438 1689223497.3056
MEM 47.273438 1689223497.4060
MEM 47.273438 1689223497.5066
MEM 47.531250 1689223497.6072
MEM 47.531250 1689223497.7077
MEM 47.531250 1689223497.8083
MEM 47.789062 1689223497.9089
MEM 47.789062 1689223498.0182
MEM 47.882812 1689223498.1187
MEM 47.882812 1689223498.2193
MEM 47.882812 1689223498.3197
MEM 48.136719 1689223498.4202
MEM 48.136719 1689223498.5208
MEM 48.136719 1689223498.6213
MEM 48.136719 1689223498.7219
MEM 48.394531 1689223498.8224
MEM 48.394531 1689223498.9228
MEM 48.394531 1689223499.0233
MEM 48.652344 1689223499.1239
MEM 48.652344 1689223499.2246
MEM 48.652344 1689223499.3252
MEM 48.652344 1689223499.4258
MEM 48.910156 1689223499.5264
MEM 48.910156 1689223499.6268
MEM 48.910156 1689223499.7274
MEM 48.910156 1689223499.8280
MEM 49.167969 1689223499.9286
MEM 49.167969 1689223500.0290
MEM 49.167969 1689223500.1298
MEM 49.425781 1689223500.2304
MEM 49.425781 1689223500.3309
MEM 49.425781 1689223500.4314
MEM 49.425781 1689223500.5318
MEM 49.683594 1689223500.6323
MEM 49.683594 1689223500.7329
MEM 49.683594 1689223500.8334
MEM 49.941406 1689223500.9339
MEM 49.941406 1689223501.0346
MEM 49.941406 1689223501.1351
MEM 49.941406 1689223501.2357
MEM 50.199219 1689223501.3381
MEM 50.199219 1689223501.4387
MEM 50.199219 1689223501.5393
MEM 50.457031 1689223501.6398
MEM 50.457031 1689223501.7404
MEM 50.457031 1689223501.8409
MEM 50.457031 1689223501.9417
MEM 50.714844 1689223502.0422
MEM 50.714844 1689223502.1429
MEM 50.714844 1689223502.2433
MEM 50.972656 1689223502.3437
MEM 50.972656 1689223502.4443
MEM 50.972656 1689223502.5449
MEM 50.972656 1689223502.6456
MEM 51.230469 1689223502.7461
MEM 51.230469 1689223502.8469
MEM 51.230469 1689223502.9473
MEM 51.230469 1689223503.0478
MEM 51.488281 1689223503.1482
MEM 51.488281 1689223503.2487
MEM 51.488281 1689223503.3491
MEM 51.746094 1689223503.4497
MEM 51.746094 1689223503.5502
MEM 51.746094 1689223503.6508
MEM 51.746094 1689223503.7514
MEM 52.003906 1689223503.8520
MEM 52.003906 1689223503.9527
MEM 52.003906 1689223504.0532
MEM 52.261719 1689223504.1537
MEM 52.261719 1689223504.2542
MEM 52.261719 1689223504.3547
MEM 52.261719 1689223504.4552
MEM 52.519531 1689223504.5557
MEM 52.519531 1689223504.6563
MEM 52.519531 1689223504.7570
MEM 52.777344 1689223504.8577
MEM 52.777344 1689223504.9583
MEM 52.777344 1689223505.0589
MEM 52.777344 1689223505.1595
MEM 53.035156 1689223505.2601
MEM 53.035156 1689223505.3607
MEM 53.035156 1689223505.4613
MEM 53.292969 1689223505.5620
MEM 53.292969 1689223505.6627
MEM 53.292969 1689223505.7632
MEM 53.292969 1689223505.8639
MEM 53.550781 1689223505.9646
MEM 53.550781 1689223506.0652
MEM 53.550781 1689223506.1659
MEM 53.808594 1689223506.2666
MEM 53.808594 1689223506.3671
MEM 53.808594 1689223506.4707
MEM 53.808594 1689223506.5713
MEM 54.066406 1689223506.6718
MEM 54.066406 1689223506.7723
MEM 54.066406 1689223506.8729
MEM 54.324219 1689223506.9734
MEM 54.324219 1689223507.0739
MEM 54.324219 1689223507.1745
MEM 54.324219 1689223507.2750
MEM 54.582031 1689223507.3757
MEM 54.582031 1689223507.4763
MEM 54.582031 1689223507.5769
MEM 54.839844 1689223507.6774
MEM 54.839844 1689223507.7779
MEM 54.839844 1689223507.8784
MEM 54.839844 1689223507.9789
MEM 55.097656 1689223508.0797
MEM 55.097656 1689223508.1801
MEM 55.097656 1689223508.2807
MEM 55.355469 1689223508.3813
MEM 55.355469 1689223508.4818
MEM 55.355469 1689223508.5823
MEM 55.355469 1689223508.6827
MEM 55.613281 1689223508.7828
MEM 55.613281 1689223508.8832
MEM 55.613281 1689223508.9838
MEM 55.613281 1689223509.0843
MEM 55.871094 1689223509.1848
MEM 55.871094 1689223509.2854
MEM 55.871094 1689223509.3863
MEM 56.128906 1689223509.4869
MEM 56.128906 1689223509.5874
MEM 56.128906 1689223509.6878
MEM 56.128906 1689223509.7883
MEM 56.386719 1689223509.8888
MEM 56.386719 1689223509.9893
MEM 56.386719 1689223510.0901
MEM 56.386719 1689223510.1906
MEM 56.644531 1689223510.2914
MEM 56.644531 1689223510.3919
MEM 56.644531 1689223510.4926
MEM 56.902344 1689223510.5933
MEM 56.902344 1689223510.6938
MEM 56.902344 1689223510.7943
MEM 56.902344 1689223510.8948
MEM 57.160156 1689223510.9953
MEM 57.160156 1689223511.0958
MEM 57.160156 1689223511.1963
MEM 57.417969 1689223511.2968
MEM 57.417969 1689223511.3972
MEM 57.417969 1689223511.4976
MEM 57.417969 1689223511.5999
MEM 57.675781 1689223511.7005
MEM 57.675781 1689223511.8013
MEM 57.675781 1689223511.9019
MEM 57.933594 1689223512.0025
MEM 57.933594 1689223512.1032
MEM 57.933594 1689223512.2038
MEM 58.191406 1689223512.3043
MEM 58.191406 1689223512.4048
MEM 58.191406 1689223512.5054
MEM 58.191406 1689223512.6059
MEM 58.449219 1689223512.7064
MEM 58.449219 1689223512.8069
MEM 58.449219 1689223512.9074
MEM 58.449219 1689223513.0079
MEM 58.707031 1689223513.1085
MEM 58.707031 1689223513.2093
MEM 58.707031 1689223513.3099
MEM 58.964844 1689223513.4104
MEM 58.964844 1689223513.5111
MEM 58.964844 1689223513.6117
MEM 58.964844 1689223513.7123
MEM 59.222656 1689223513.8128
MEM 59.222656 1689223513.9134
MEM 59.222656 1689223514.0139
MEM 59.480469 1689223514.1145
MEM 59.480469 1689223514.2152
MEM 59.480469 1689223514.3158
MEM 59.480469 1689223514.4165
MEM 59.738281 1689223514.5170
MEM 59.738281 1689223514.6175
MEM 59.738281 1689223514.7180
MEM 59.996094 1689223514.8184
MEM 60.027344 1689223514.9190
MEM 60.027344 1689223515.0195
MEM 60.027344 1689223515.1200
MEM 60.281250 1689223515.2205
MEM 60.281250 1689223515.3210
MEM 60.281250 1689223515.4215
MEM 60.281250 1689223515.5223
MEM 60.539062 1689223515.6228
MEM 60.539062 1689223515.7235
MEM 60.539062 1689223515.8241
MEM 60.796875 1689223515.9248
MEM 60.796875 1689223516.0255
MEM 60.796875 1689223516.1262
MEM 60.796875 1689223516.2266
MEM 61.054688 1689223516.3272
MEM 61.054688 1689223516.4276
MEM 61.054688 1689223516.5282
MEM 61.312500 1689223516.6287
MEM 61.312500 1689223516.7308
MEM 61.312500 1689223516.8316
MEM 61.312500 1689223516.9322
MEM 61.570312 1689223517.0328
MEM 61.570312 1689223517.1332
MEM 61.570312 1689223517.2336
MEM 61.828125 1689223517.3342
MEM 61.828125 1689223517.4347
MEM 61.828125 1689223517.5354
MEM 61.828125 1689223517.6360
MEM 62.085938 1689223517.7366
MEM 62.085938 1689223517.8372
MEM 62.085938 1689223517.9377
MEM 62.343750 1689223518.0383
MEM 62.343750 1689223518.1387
MEM 62.343750 1689223518.2394
MEM 62.343750 1689223518.3398
MEM 62.601562 1689223518.4405
MEM 62.601562 1689223518.5412
MEM 62.601562 1689223518.6417
MEM 62.859375 1689223518.7422
MEM 62.859375 1689223518.8427
MEM 62.859375 1689223518.9432
MEM 62.859375 1689223519.0438
MEM 63.117188 1689223519.1444
MEM 63.117188 1689223519.2450
MEM 63.117188 1689223519.3454
MEM 63.375000 1689223519.4459
MEM 63.375000 1689223519.5464
MEM 63.375000 1689223519.6469
MEM 63.375000 1689223519.7475
MEM 63.632812 1689223519.8480
MEM 63.632812 1689223519.9484
MEM 63.632812 1689223520.0489
MEM 63.632812 1689223520.1494
MEM 63.890625 1689223520.2502
MEM 63.890625 1689223520.3507
MEM 63.890625 1689223520.4513
MEM 64.148438 1689223520.5518
MEM 64.148438 1689223520.6524
MEM 64.148438 1689223520.7530
MEM 64.148438 1689223520.8534
MEM 64.406250 1689223520.9539
MEM 64.406250 1689223521.0543
MEM 64.406250 1689223521.1549
MEM 64.664062 1689223521.2555
MEM 64.664062 1689223521.3562
MEM 64.664062 1689223521.4566
MEM 64.664062 1689223521.5572
MEM 64.921875 1689223521.6576
MEM 64.921875 1689223521.7582
MEM 64.921875 1689223521.8616
MEM 65.125000 1689223521.9623
MEM 65.125000 1689223522.0627
MEM 65.125000 1689223522.1634
MEM 65.378906 1689223522.2639
MEM 65.378906 1689223522.3644
MEM 65.378906 1689223522.4648
MEM 65.378906 1689223522.5652
MEM 65.636719 1689223522.6657
MEM 65.636719 1689223522.7663
MEM 65.636719 1689223522.8668
MEM 65.894531 1689223522.9674
MEM 65.894531 1689223523.0679
MEM 65.894531 1689223523.1685
MEM 65.894531 1689223523.2692
MEM 66.152344 1689223523.3697
MEM 66.152344 1689223523.4702
MEM 66.152344 1689223523.5708
MEM 66.410156 1689223523.6715
MEM 66.410156 1689223523.7723
MEM 66.410156 1689223523.8727
MEM 66.410156 1689223523.9732
MEM 66.667969 1689223524.0739
MEM 66.667969 1689223524.1745
MEM 66.667969 1689223524.2752
MEM 66.925781 1689223524.3757
MEM 66.925781 1689223524.4763
MEM 66.925781 1689223524.5767
MEM 66.925781 1689223524.6775
MEM 67.183594 1689223524.7779
MEM 67.183594 1689223524.8785
MEM 67.183594 1689223524.9792
MEM 67.183594 1689223525.0797
MEM 67.441406 1689223525.1804
MEM 67.441406 1689223525.2810
MEM 67.441406 1689223525.3815
MEM 67.699219 1689223525.4822
MEM 67.699219 1689223525.5826
MEM 67.699219 1689223525.6833
MEM 67.699219 1689223525.7839
MEM 67.957031 1689223525.8843
MEM 67.957031 1689223525.9848
MEM 67.957031 1689223526.0854
MEM 68.214844 1689223526.1859
MEM 68.214844 1689223526.2864
MEM 68.214844 1689223526.3869
MEM 68.214844 1689223526.4874
MEM 68.472656 1689223526.5878
MEM 68.472656 1689223526.6884
MEM 68.472656 1689223526.7889
MEM 68.730469 1689223526.8895
MEM 68.730469 1689223526.9920
MEM 68.730469 1689223527.0926
MEM 68.730469 1689223527.1932
MEM 68.988281 1689223527.2937
MEM 68.988281 1689223527.3943
MEM 68.988281 1689223527.4947
MEM 69.246094 1689223527.5953
MEM 69.246094 1689223527.6958
MEM 69.246094 1689223527.7965
MEM 69.246094 1689223527.8969
MEM 69.503906 1689223527.9974
MEM 69.503906 1689223528.0979
MEM 69.503906 1689223528.1985
MEM 69.761719 1689223528.2989
MEM 69.761719 1689223528.3994
MEM 69.761719 1689223528.4999
MEM 69.761719 1689223528.6004
MEM 70.019531 1689223528.7012
MEM 70.019531 1689223528.8017
MEM 70.019531 1689223528.9022
MEM 70.277344 1689223529.0028
MEM 70.277344 1689223529.1033
MEM 70.277344 1689223529.2038
MEM 70.277344 1689223529.3044
MEM 70.535156 1689223529.4052
MEM 70.535156 1689223529.5057
MEM 70.535156 1689223529.6063
MEM 70.535156 1689223529.7067
MEM 70.792969 1689223529.8073
MEM 70.792969 1689223529.9077
MEM 70.792969 1689223530.0082
MEM 71.050781 1689223530.1087
MEM 71.050781 1689223530.2094
MEM 71.050781 1689223530.3099
MEM 71.050781 1689223530.4103
MEM 71.308594 1689223530.5109
MEM 71.308594 1689223530.6115
MEM 71.308594 1689223530.7122
MEM 71.308594 1689223530.8127
MEM 71.566406 1689223530.9133
MEM 71.566406 1689223531.0137
MEM 71.566406 1689223531.1144
MEM 71.824219 1689223531.2149
MEM 71.824219 1689223531.3155
MEM 71.824219 1689223531.4161
MEM 71.824219 1689223531.5166
MEM 72.082031 1689223531.6173
MEM 72.082031 1689223531.7178
MEM 72.082031 1689223531.8186
MEM 72.339844 1689223531.9190
MEM 72.339844 1689223532.0194
MEM 72.339844 1689223532.1217
MEM 72.339844 1689223532.2222
MEM 72.597656 1689223532.3227
