CMDLINE /usr/local/bin/python main.py
MEM 5.562500 1689223895.5300
MEM 19.214844 1689223895.6305
MEM 27.703125 1689223895.7312
MEM 37.648438 1689223895.8319
MEM 45.113281 1689223895.9325
MEM 50.652344 1689223896.0332
MEM 60.164062 1689223896.1337
MEM 65.785156 1689223896.2343
MEM 75.656250 1689223896.3348
MEM 78.292969 1689223896.4353
MEM 79.066406 1689223896.5361
MEM 83.300781 1689223896.6366
MEM 84.585938 1689223896.7371
MEM 85.617188 1689223896.8376
MEM 87.902344 1689223896.9382
MEM 108.566406 1689223897.0389
MEM 108.960938 1689223897.1395
MEM 108.960938 1689223897.2400
MEM 108.960938 1689223897.3406
MEM 108.960938 1689223897.4411
MEM 108.960938 1689223897.5416
MEM 108.960938 1689223897.6420
MEM 108.960938 1689223897.7424
MEM 108.960938 1689223897.8429
MEM 108.960938 1689223897.9434
MEM 110.937500 1689223898.0440
MEM 111.218750 1689223898.1444
MEM 111.218750 1689223898.2449
MEM 111.218750 1689223898.3454
MEM 111.218750 1689223898.4458
MEM 111.218750 1689223898.5463
MEM 111.218750 1689223898.6468
MEM 111.218750 1689223898.7473
MEM 111.218750 1689223898.8474
MEM 112.113281 1689223898.9479
MEM 112.113281 1689223899.0483
MEM 112.113281 1689223899.1489
MEM 112.113281 1689223899.2496
MEM 112.113281 1689223899.3503
MEM 112.140625 1689223899.4507
MEM 112.148438 1689223899.5514
MEM 112.148438 1689223899.6520
MEM 112.148438 1689223899.7525
MEM 112.148438 1689223899.8530
MEM 112.148438 1689223899.9535
MEM 112.148438 1689223900.0540
MEM 112.148438 1689223900.1545
MEM 112.148438 1689223900.2549
MEM 112.148438 1689223900.3554
MEM 112.148438 1689223900.4559
MEM 112.148438 1689223900.5566
MEM 112.148438 1689223900.6620
MEM 112.148438 1689223900.7632
MEM 112.148438 1689223900.8640
MEM 112.148438 1689223900.9649
MEM 112.148438 1689223901.0657
MEM 112.148438 1689223901.1662
MEM 112.148438 1689223901.2678
MEM 112.148438 1689223901.3682
MEM 112.148438 1689223901.4687
MEM 112.148438 1689223901.5692
MEM 112.148438 1689223901.6696
MEM 112.148438 1689223901.7703
MEM 112.148438 1689223901.8708
MEM 112.148438 1689223901.9712
MEM 112.152344 1689223902.0718
MEM 112.218750 1689223902.1728
MEM 112.218750 1689223902.2733
MEM 112.218750 1689223902.3742
MEM 114.304688 1689223902.4746
MEM 114.433594 1689223902.5752
MEM 114.457031 1689223902.6762
MEM 114.585938 1689223902.7769
MEM 114.761719 1689223902.8773
MEM 116.296875 1689223902.9778
MEM 119.636719 1689223903.0792
MEM 122.003906 1689223903.1796
MEM 123.187500 1689223903.2800
MEM 123.699219 1689223903.3805
MEM 125.648438 1689223903.4809
MEM 126.156250 1689223903.5813
MEM 127.007812 1689223903.6818
MEM 127.007812 1689223903.7823
MEM 127.523438 1689223903.8828
MEM 128.035156 1689223903.9835
MEM 128.324219 1689223904.0841
MEM 128.449219 1689223904.1847
MEM 128.707031 1689223904.2852
MEM 129.011719 1689223904.3862
MEM 129.175781 1689223904.4870
MEM 129.523438 1689223904.5876
MEM 129.660156 1689223904.6885
MEM 130.328125 1689223904.7888
MEM 131.750000 1689223904.8893
MEM 131.750000 1689223904.9898
MEM 131.750000 1689223905.0907
MEM 132.003906 1689223905.1912
MEM 132.519531 1689223905.2917
MEM 132.519531 1689223905.3921
MEM 132.519531 1689223905.4928
MEM 134.566406 1689223905.5932
MEM 135.792969 1689223905.6941
MEM 135.851562 1689223905.7969
MEM 135.851562 1689223905.8976
MEM 135.863281 1689223905.9984
MEM 136.886719 1689223906.0988
MEM 137.660156 1689223906.1992
MEM 138.023438 1689223906.2996
MEM 138.281250 1689223906.4000
MEM 139.226562 1689223906.5006
MEM 139.226562 1689223906.6017
MEM 139.226562 1689223906.7023
MEM 139.226562 1689223906.8031
MEM 139.226562 1689223906.9036
MEM 139.226562 1689223907.0047
MEM 139.226562 1689223907.1053
MEM 139.273438 1689223907.2058
MEM 139.273438 1689223907.3062
MEM 139.273438 1689223907.4068
MEM 139.281250 1689223907.5074
MEM 139.281250 1689223907.6081
MEM 139.468750 1689223907.7089
MEM 139.468750 1689223907.8099
MEM 139.468750 1689223907.9109
MEM 139.468750 1689223908.0115
MEM 139.468750 1689223908.1125
MEM 139.484375 1689223908.2130
MEM 139.484375 1689223908.3136
MEM 139.484375 1689223908.4141
MEM 139.484375 1689223908.5149
MEM 139.484375 1689223908.6156
MEM 139.484375 1689223908.7166
MEM 139.484375 1689223908.8178
MEM 139.484375 1689223908.9188
MEM 139.484375 1689223909.0201
MEM 139.484375 1689223909.1209
MEM 139.484375 1689223909.2214
MEM 139.484375 1689223909.3223
MEM 139.484375 1689223909.4229
MEM 139.484375 1689223909.5236
MEM 139.484375 1689223909.6247
MEM 139.484375 1689223909.7253
MEM 139.484375 1689223909.8259
MEM 139.484375 1689223909.9266
MEM 139.484375 1689223910.0273
MEM 139.484375 1689223910.1281
MEM 139.484375 1689223910.2289
MEM 139.484375 1689223910.3297
MEM 139.484375 1689223910.4304
MEM 139.484375 1689223910.5309
MEM 139.484375 1689223910.6317
MEM 139.484375 1689223910.7322
MEM 139.484375 1689223910.8327
MEM 139.484375 1689223910.9372
MEM 139.484375 1689223911.0380
MEM 139.484375 1689223911.1388
MEM 139.484375 1689223911.2400
MEM 139.484375 1689223911.3408
MEM 139.484375 1689223911.4413
MEM 139.484375 1689223911.5423
MEM 139.484375 1689223911.6431
MEM 139.484375 1689223911.7471
MEM 139.484375 1689223911.8478
MEM 139.484375 1689223911.9489
MEM 139.484375 1689223912.0497
MEM 139.484375 1689223912.1503
MEM 139.484375 1689223912.2512
