CMDLINE /usr/local/bin/python main.py
MEM 5.890625 1689224636.1702
MEM 19.183594 1689224636.2707
MEM 28.988281 1689224636.3714
MEM 42.042969 1689224636.4720
MEM 47.253906 1689224636.5725
MEM 58.746094 1689224636.6727
MEM 74.402344 1689224636.7733
MEM 75.718750 1689224636.8739
MEM 78.296875 1689224636.9744
MEM 82.511719 1689224637.0749
MEM 83.027344 1689224637.1756
MEM 84.828125 1689224637.2763
MEM 85.343750 1689224637.3768
MEM 87.906250 1689224637.4773
MEM 108.046875 1689224637.5780
MEM 108.425781 1689224637.6785
MEM 108.425781 1689224637.7790
MEM 108.425781 1689224637.8795
MEM 108.425781 1689224637.9800
MEM 108.425781 1689224638.0804
MEM 108.425781 1689224638.1808
MEM 108.425781 1689224638.2815
MEM 108.425781 1689224638.3821
MEM 108.425781 1689224638.4827
MEM 110.566406 1689224638.5832
MEM 110.644531 1689224638.6839
MEM 110.644531 1689224638.7846
MEM 110.644531 1689224638.8851
MEM 110.644531 1689224638.9856
MEM 110.644531 1689224639.0860
MEM 110.644531 1689224639.1867
MEM 110.644531 1689224639.2964
MEM 110.644531 1689224639.3968
MEM 110.644531 1689224639.4974
MEM 110.644531 1689224639.5978
MEM 110.644531 1689224639.6984
MEM 110.644531 1689224639.7993
MEM 110.777344 1689224639.8998
MEM 111.628906 1689224640.0003
MEM 111.628906 1689224640.1010
MEM 111.628906 1689224640.2017
MEM 111.628906 1689224640.3023
MEM 111.628906 1689224640.4031
MEM 111.652344 1689224640.5038
MEM 111.652344 1689224640.6044
MEM 111.652344 1689224640.7049
MEM 111.652344 1689224640.8053
MEM 111.652344 1689224640.9058
MEM 111.652344 1689224641.0064
MEM 111.652344 1689224641.1069
MEM 111.652344 1689224641.2079
MEM 111.652344 1689224641.3094
MEM 111.652344 1689224641.4100
MEM 111.652344 1689224641.5105
MEM 111.652344 1689224641.6110
MEM 111.652344 1689224641.7134
MEM 111.652344 1689224641.8138
MEM 111.652344 1689224641.9144
MEM 111.652344 1689224642.0148
MEM 111.652344 1689224642.1154
MEM 111.652344 1689224642.2159
MEM 111.652344 1689224642.3165
MEM 111.652344 1689224642.4169
MEM 111.652344 1689224642.5174
MEM 111.652344 1689224642.6179
MEM 111.652344 1689224642.7183
