CMDLINE /usr/local/bin/python test.py
MEM 5.914062 1689223694.5267
MEM 17.859375 1689223694.6273
MEM 18.640625 1689223694.7277
MEM 18.640625 1689223694.8283
MEM 18.898438 1689223694.9289
MEM 18.898438 1689223695.0293
MEM 18.898438 1689223695.1297
MEM 18.898438 1689223695.2301
MEM 19.156250 1689223695.3307
MEM 19.156250 1689223695.4314
MEM 19.156250 1689223695.5318
MEM 19.156250 1689223695.6322
MEM 19.156250 1689223695.7329
MEM 19.414062 1689223695.8335
MEM 19.414062 1689223695.9340
MEM 19.414062 1689223696.0348
MEM 19.671875 1689223696.1353
MEM 19.671875 1689223696.2358
MEM 19.671875 1689223696.3365
MEM 19.671875 1689223696.4372
MEM 19.929688 1689223696.5378
MEM 19.929688 1689223696.6384
MEM 19.929688 1689223696.7391
MEM 19.929688 1689223696.8397
MEM 20.187500 1689223696.9402
MEM 20.187500 1689223697.0407
MEM 20.187500 1689223697.1412
MEM 20.187500 1689223697.2416
MEM 20.445312 1689223697.3421
MEM 20.445312 1689223697.4428
MEM 20.960938 1689223697.5434
MEM 20.960938 1689223697.6439
MEM 20.960938 1689223697.7444
MEM 21.207031 1689223697.8448
MEM 21.207031 1689223697.9453
MEM 21.207031 1689223698.0457
MEM 21.207031 1689223698.1463
MEM 21.476562 1689223698.2468
MEM 21.476562 1689223698.3475
MEM 21.476562 1689223698.4481
MEM 21.476562 1689223698.5486
MEM 21.476562 1689223698.6492
MEM 21.730469 1689223698.7497
MEM 21.730469 1689223698.8502
MEM 21.730469 1689223698.9512
MEM 21.730469 1689223699.0560
MEM 21.730469 1689223699.1566
MEM 21.988281 1689223699.2571
MEM 21.988281 1689223699.3578
MEM 21.988281 1689223699.4585
MEM 21.988281 1689223699.5590
MEM 22.246094 1689223699.6690
MEM 22.246094 1689223699.7695
MEM 22.246094 1689223699.8703
MEM 22.246094 1689223699.9707
MEM 22.246094 1689223700.0710
MEM 22.503906 1689223700.1717
MEM 22.503906 1689223700.2723
MEM 22.503906 1689223700.3727
MEM 22.503906 1689223700.4731
MEM 22.761719 1689223700.5735
MEM 22.761719 1689223700.6741
MEM 22.761719 1689223700.7745
MEM 22.929688 1689223700.8748
MEM 22.929688 1689223700.9756
MEM 22.929688 1689223701.0760
MEM 22.929688 1689223701.1766
MEM 23.183594 1689223701.2872
MEM 23.183594 1689223701.3877
MEM 23.183594 1689223701.4881
MEM 23.183594 1689223701.5889
MEM 23.410156 1689223701.6894
MEM 23.410156 1689223701.7900
MEM 23.410156 1689223701.8906
MEM 23.664062 1689223701.9910
MEM 23.664062 1689223702.0915
MEM 23.664062 1689223702.1921
MEM 23.664062 1689223702.2928
MEM 23.664062 1689223702.3934
MEM 23.921875 1689223702.4941
MEM 23.921875 1689223702.5948
MEM 23.921875 1689223702.6959
MEM 23.921875 1689223702.7966
MEM 23.921875 1689223702.8971
MEM 23.921875 1689223702.9976
MEM 24.179688 1689223703.0981
MEM 24.179688 1689223703.2051
MEM 24.179688 1689223703.3058
MEM 24.179688 1689223703.4064
MEM 24.179688 1689223703.5069
MEM 24.179688 1689223703.6076
MEM 24.437500 1689223703.7081
MEM 24.437500 1689223703.8087
MEM 24.437500 1689223703.9095
MEM 24.437500 1689223704.0099
MEM 24.695312 1689223704.1106
MEM 24.695312 1689223704.2112
MEM 24.695312 1689223704.3119
MEM 24.695312 1689223704.4175
MEM 24.695312 1689223704.5179
MEM 24.695312 1689223704.6187
MEM 24.695312 1689223704.7192
MEM 24.953125 1689223704.8226
MEM 24.953125 1689223704.9235
MEM 24.953125 1689223705.0243
MEM 24.953125 1689223705.1247
MEM 25.210938 1689223705.2252
MEM 25.257812 1689223705.3256
MEM 25.257812 1689223705.4260
MEM 25.257812 1689223705.5265
MEM 25.257812 1689223705.6269
MEM 25.511719 1689223705.7275
MEM 25.511719 1689223705.8280
MEM 25.511719 1689223705.9286
MEM 25.769531 1689223706.0291
MEM 25.769531 1689223706.1297
MEM 25.769531 1689223706.2302
MEM 25.769531 1689223706.3310
MEM 26.031250 1689223706.4315
MEM 26.031250 1689223706.5320
MEM 26.031250 1689223706.6325
MEM 26.031250 1689223706.7330
MEM 26.031250 1689223706.8335
MEM 26.285156 1689223706.9340
MEM 26.285156 1689223707.0345
MEM 26.285156 1689223707.1352
MEM 26.285156 1689223707.2356
MEM 26.542969 1689223707.3361
MEM 26.542969 1689223707.4368
